Axe 1,Axe 2,Target
10.102953,12.9646015,0
55.63647,-1.6625912,0
20.228176,-29.14323,0
28.289845,-3.2274547,0
12.562461,14.177474,0
-11.795703,-35.352245,0
13.1984,-20.851833,1
0.8422718,-21.178595,0
15.085014,11.640336,0
-4.1675925,-27.621119,0
-12.475104,-19.845495,0
11.521122,-14.810953,0
18.206203,-22.615555,0
25.930994,-18.097849,0
20.837193,-30.57424,0
15.641647,-12.623346,0
1.5931066,-36.37709,0
-13.174925,-8.271699,0
31.893429,1.2282194,1
15.943068,38.079834,1
0.317621,-30.16678,0
-11.609805,-21.286964,0
17.046349,-2.7433162,0
24.157139,-0.3794366,0
-0.89484894,27.146435,1
17.198145,-13.650761,0
-6.150661,41.981693,0
54.142002,-5.9665275,0
-26.881826,-27.252193,1
5.4823375,14.078867,0
3.967412,47.1252,1
-27.67466,-28.519613,1
-10.876992,25.049614,0
9.767583,41.07227,0
-15.849381,-16.069279,0
-27.440706,-8.869432,0
55.168503,-12.019972,0
2.855817,31.196167,0
11.703652,-16.626678,0
-9.229289,-27.376537,0
1.2041937,63.960114,0
-4.729515,38.886158,0
3.771343,44.221165,0
-17.452518,-36.708157,1
-18.05072,-15.323056,0
11.071477,13.420407,0
-39.73031,10.39469,0
4.342255,14.489249,0
-20.858147,-21.16599,1
6.6192694,19.24188,0
-21.571272,-3.0790596,1
14.26196,13.034646,0
-7.240038,64.63584,0
-21.199324,-19.264107,1
-10.340305,-6.9097605,0
11.037083,33.18827,0
0.92596734,-28.427668,0
2.4682434,-26.247461,0
7.817026,6.508643,0
51.862915,-9.29291,0
-6.7451625,-30.621193,0
20.657108,-20.61727,0
-4.724678,-33.60564,0
21.995407,-29.013617,0
14.776709,-28.32536,1
29.243587,10.078648,0
-12.636819,-29.560999,0
-11.054683,-32.467648,0
11.635041,45.64055,0
17.87591,-21.19092,0
-8.96089,-15.01828,0
52.605804,-2.9032495,0
-6.6566405,-31.402946,0
-14.519255,-23.950142,1
-22.503855,-9.560834,0
-7.2081304,25.525358,0
-26.703585,-24.803694,0
2.112787,15.747587,0
-21.093632,-18.226492,1
-6.165735,33.52849,0
29.781136,3.8870416,0
20.36091,-3.5091882,0
29.09202,5.2638464,0
-5.925057,-13.501576,0
12.449793,16.973919,0
11.537133,8.372123,1
-27.911854,-10.136756,0
-7.7669263,33.51806,0
-14.270474,-36.13012,0
50.89186,-9.301141,0
5.863749,11.656925,0
-17.086096,31.794643,0
16.532133,-31.258976,0
54.30036,-4.878479,0
54.658024,-8.327305,0
-3.7809687,27.365,0
-5.5161004,42.588,0
-12.823495,-5.213922,0
30.625387,0.4924115,0
-3.9565873,-24.421602,0
-20.314003,-22.953022,1
21.463419,0.13009045,0
-23.52788,-19.163296,1
-17.9718,-30.914457,0
58.13946,-6.8387337,0
-28.279772,-27.846317,0
0.5100533,65.26065,0
6.7891526,49.589764,1
-1.2152991,-38.194828,0
6.8940563,37.846058,0
-20.012253,-18.203053,1
10.2845545,39.168156,0
-15.055006,-6.353109,0
14.941366,-24.137043,0
10.563896,16.668276,0
-5.2746224,65.09619,0
29.518015,-1.8455753,0
-12.698843,31.179745,0
23.37166,7.2134595,0
-0.5883327,-10.220986,0
-2.8471446,29.428602,0
53.462097,-6.3630104,0
19.552526,-2.4742846,0
-30.450394,-28.44081,0
-33.62856,15.113306,0
-5.003025,-17.4668,0
0.46704385,-30.461405,0
10.488087,10.61276,0
